EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear,JobLevel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,OverTime
1,41,Female,Single,Travel_Rarely,2,"Life Sciences",Sales,"Sales Executive",8,6,4,0,5,8,1,0,2,5993,19479,1102,94,11,0,3,3,4,2,1,1,Yes,Yes
2,49,Male,Married,Travel_Frequently,1,"Life Sciences","Research & Development","Research Scientist",10,10,7,1,7,1,8,3,2,5130,24907,279,61,23,1,4,2,2,3,3,4,No,No
4,37,Male,Single,Travel_Rarely,2,Other,"Research & Development","Laboratory Technician",7,0,0,0,0,6,2,3,1,2090,2396,1373,92,15,0,3,2,3,4,3,2,Yes,Yes
5,33,Female,Married,Travel_Frequently,4,"Life Sciences","Research & Development","Research Scientist",8,8,7,3,0,1,3,3,1,2909,23159,1392,56,11,0,3,3,3,4,3,3,No,Yes
7,27,Male,Married,Travel_Rarely,1,Medical,"Research & Development","Laboratory Technician",6,2,2,2,2,9,2,3,1,3468,16632,591,40,12,1,3,3,2,1,3,4,No,No
8,32,Male,Single,Travel_Frequently,2,"Life Sciences","Research & Development","Laboratory Technician",8,7,7,3,6,0,2,2,1,3068,11864,1005,79,13,0,3,3,4,4,2,3,No,No
10,59,Female,Married,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",12,1,0,0,0,4,3,3,1,2670,9964,1324,81,20,3,4,4,1,3,2,1,No,Yes
11,30,Male,Divorced,Travel_Rarely,1,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,0,0,1,24,2,1,2693,13335,1358,67,22,1,4,3,3,4,3,2,No,No
12,38,Male,Single,Travel_Frequently,3,"Life Sciences","Research & Development","Manufacturing Director",10,9,7,1,8,0,23,2,3,9526,8787,216,44,21,0,4,2,3,4,3,2,No,No
13,36,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Healthcare Representative",17,7,7,7,7,6,27,3,2,5237,16577,1299,94,13,2,3,3,3,3,2,2,No,No
14,35,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",6,5,4,0,3,0,16,5,1,2426,16479,809,84,13,1,3,4,2,1,3,3,No,No
15,29,Female,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",10,9,5,0,8,0,15,3,2,4193,12682,153,49,12,0,3,2,3,4,3,4,No,Yes
16,31,Male,Divorced,Travel_Rarely,1,"Life Sciences","Research & Development","Research Scientist",5,5,2,4,3,1,26,1,1,2911,15170,670,31,17,1,3,3,3,1,2,4,No,No
18,34,Male,Divorced,Travel_Rarely,2,Medical,"Research & Development","Laboratory Technician",3,2,2,1,2,0,19,2,1,2661,8758,1346,93,11,1,3,3,4,2,3,3,No,No
19,28,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",6,4,2,0,3,5,24,4,1,2028,12947,103,50,14,0,3,2,3,3,3,2,Yes,Yes
20,29,Female,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Manufacturing Director",10,10,9,8,8,1,21,1,3,9980,10195,1389,51,11,1,3,4,1,2,3,3,No,No
21,32,Male,Divorced,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",7,6,2,0,5,0,5,5,1,3298,15053,334,80,12,2,3,4,2,1,2,4,No,Yes
