EmployeeNumber,EmployeeCount,Age,Gender,MaritalStatus,Over18,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,MonthlyRate,HourlyRate,DailyRate,PercentSalaryHike,StockOptionLevel,OverTime,PerformanceRating,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Education,EducationField,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,StandardHours,Attrition
1,1,41,Female,Single,Y,Sales,Sales Executive,2,3,4,8,6,4,0,5,8,5993,19479,94,1102,11,0,Yes,3,2,1,1,2,Life Sciences,0,1,Travel_Rarely,80,Yes
2,1,49,Male,Married,Y,Research & Development,Research Scientist,2,2,2,10,10,7,1,7,1,5130,24907,61,279,23,1,No,4,3,3,4,1,Life Sciences,3,8,Travel_Frequently,80,No
4,1,37,Male,Single,Y,Research & Development,Laboratory Technician,1,2,3,7,0,0,0,0,6,2090,2396,92,1373,15,0,Yes,3,4,3,2,2,Other,3,2,Travel_Rarely,80,Yes
5,1,33,Female,Married,Y,Research & Development,Research Scientist,1,3,3,8,8,7,3,0,1,2909,23159,56,1392,11,0,Yes,3,4,3,3,4,Life Sciences,3,3,Travel_Frequently,80,No
7,1,27,Male,Married,Y,Research & Development,Laboratory Technician,1,3,2,6,2,2,2,2,9,3468,16632,40,591,12,1,No,3,1,3,4,1,Medical,3,2,Travel_Rarely,80,No
8,1,32,Male,Single,Y,Research & Development,Laboratory Technician,1,3,4,8,7,7,3,6,0,3068,11864,79,1005,13,0,No,3,4,2,3,2,Life Sciences,2,2,Travel_Frequently,80,No
10,1,59,Female,Married,Y,Research & Development,Laboratory Technician,1,4,1,12,1,0,0,0,4,2670,9964,81,1324,20,3,Yes,4,3,2,1,3,Medical,3,3,Travel_Rarely,80,No
11,1,30,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,3,1,1,0,0,0,1,2693,13335,67,1358,22,1,No,4,4,3,2,1,Life Sciences,2,24,Travel_Rarely,80,No
12,1,38,Male,Single,Y,Research & Development,Manufacturing Director,3,2,3,10,9,7,1,8,0,9526,8787,44,216,21,0,No,4,4,3,2,3,Life Sciences,2,23,Travel_Frequently,80,No
13,1,36,Male,Married,Y,Research & Development,Healthcare Representative,2,3,3,17,7,7,7,7,6,5237,16577,94,1299,13,2,No,3,3,2,2,3,Medical,3,27,Travel_Rarely,80,No
