EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear
1,41,Female,Single,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,8,6,4,0,5,8,1,0
2,49,Male,Married,Travel_Frequently,1,Life Sciences,Research & Development,Research Scientist,10,10,7,1,7,1,8,3
4,37,Male,Single,Travel_Rarely,2,Other,Research & Development,Laboratory Technician,7,0,0,0,0,6,2,3
5,33,Female,Married,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,8,8,7,3,0,1,3,3
7,27,Male,Married,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,6,2,2,2,2,9,2,3
8,32,Male,Single,Travel_Frequently,2,Life Sciences,Research & Development,Laboratory Technician,8,7,7,3,6,0,2,2
10,59,Female,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,12,1,0,0,0,4,3,3
11,30,Male,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,24,2
12,38,Male,Single,Travel_Frequently,3,Life Sciences,Research & Development,Manufacturing Director,10,9,7,1,8,0,23,2
13,36,Male,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,17,7,7,7,7,6,27,3
14,35,Male,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,6,5,4,0,3,0,16,5
15,29,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,10,9,5,0,8,0,15,3
16,31,Male,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,5,5,2,4,3,1,26,1
18,34,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Laboratory Technician,3,2,2,1,2,0,19,2
19,28,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,6,4,2,0,3,5,24,4
20,29,Female,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,10,10,9,8,8,1,21,1
21,32,Male,Divorced,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,7,6,2,0,5,0,5,5
22,22,Male,Divorced,Non-Travel,2,Medical,Research & Development,Laboratory Technician,1,1,0,0,0,1,16,2
